Status;Carta-Consulta;Modalidade;UF;Município;Agente Financeiro;Proponente;Empreendimento;Valor de Contrapartida (R$);Valor de Empréstimo (R$);Valor de Investimento (R$)
Selecionada pelo gestor da aplicação;3494.24.1506/2018;Qualificação Viária;PI;Monsenhor Hipólito;Caixa Econômica Federal;Prefeitura Municipal de Monsenhor Hipólito;Qualificação Viária do Prefeitura Municipal de Monsenhor Hipólito;R$ 80.350,69;R$ 1.526.662,91;R$ 1.607.013,60
Selecionada pelo gestor da aplicação;3704.2.2708/2018;Qualificação Viária;MT;Guarantã do Norte;Caixa Econômica Federal;Prefeitura Municipal de Guarantã do Norte;Qualificação Viária do Prefeitura Municipal de Guarantã do Norte;R$ 112.971,48;R$ 2.146.457,94;R$ 2.259.429,42
Selecionada pelo gestor da aplicação;1384.24.2112/2017;Qualificação Viária;SP;Serra Negra;Caixa Econômica Federal;Prefeitura Municipal de Serra Negra;Qualificação Viária do Prefeitura Municipal de Serra Negra;R$ 249.709,00;R$ 4.744.471,00;R$ 4.994.180,00
Selecionada pelo gestor da aplicação;3248.2.2505/2018;Qualificação Viária;MG;João Monlevade;Caixa Econômica Federal;Prefeitura Municipal de João Monlevade;Qualificação Viária do Prefeitura Municipal de João Monlevade;R$ 56.118,43;R$ 1.066.250,16;R$ 1.122.368,59
Selecionada pelo gestor da aplicação;3546.2.2806/2018;Qualificação Viária;PR;Almirante Tamandaré;Caixa Econômica Federal;Prefeitura Municipal de Almirante Tamandaré;Qualificação Viária do Prefeitura Municipal de Almirante Tamandaré;R$ 294.240,63;R$ 5.590.571,87;R$ 5.884.812,50
Selecionada pelo gestor da aplicação;3346.2.2805/2018;Qualificação Viária;SC;Benedito Novo;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Benedito Novo;Qualificação Viária do Prefeitura Municipal de Benedito Novo;R$ 204.532,20;R$ 3.886.111,77;R$ 4.090.643,97
Selecionada pelo gestor da aplicação;4134.2.0704/2020;Qualificação Viária;SP;Itu;Caixa Econômica Federal;Prefeitura Municipal de Itu;Qualificação Viária do Prefeitura Municipal de Itu;R$ 1.497.324,34;R$ 28.449.162,36;R$ 29.946.486,70
Selecionada pelo gestor da aplicação;3144.24.0903/2018;Qualificação Viária;MS;Aral Moreira;Caixa Econômica Federal;Prefeitura Municipal de Aral Moreira;Qualificação Viária do Prefeitura Municipal de Aral Moreira;R$ 248.661,33;R$ 4.724.565,13;R$ 4.973.226,46
Selecionada pelo gestor da aplicação;3298.2.2504/2018;Qualificação Viária;PR;Santa Lúcia;Caixa Econômica Federal;Prefeitura Municipal de Santa Lúcia;Qualificação Viária do Prefeitura Municipal de Santa Lúcia;R$ 104.567,50;R$ 1.986.782,50;R$ 2.091.350,00
Selecionada pelo gestor da aplicação;3655.2.2507/2018;Qualificação Viária;RS;Mormaço;Caixa Econômica Federal;Prefeitura Municipal de Mormaço;Qualificação Viária do Prefeitura Municipal de Mormaço;R$ 78.897,45;R$ 1.499.051,49;R$ 1.577.948,94
Selecionada pelo gestor da aplicação;3932.2.0702/2019;Qualificação Viária;MT;Guarantã do Norte;Caixa Econômica Federal;Prefeitura Municipal de Guarantã do Norte;Qualificação Viária do Prefeitura Municipal de Guarantã do Norte;R$ 53.027,53;R$ 1.007.523,04;R$ 1.060.550,57
Selecionada pelo gestor da aplicação;3347.2.0606/2018;Qualificação Viária;RS;Cachoeira do Sul;Badesul Desenvolvimento S. A.;Prefeitura Municipal de Cachoeira do Sul;Qualificação Viária do Prefeitura Municipal de Cachoeira do Sul;R$ 724.103,18;R$ 13.757.960,25;R$ 14.482.063,43
Selecionada pelo gestor da aplicação;3260.2.1306/2018;Qualificação Viária;MS;Naviraí;Caixa Econômica Federal;Prefeitura Municipal de Naviraí;Qualificação Viária do Prefeitura Municipal de Naviraí;R$ 786.000,00;R$ 14.931.140,00;R$ 15.717.140,00
Selecionada pelo gestor da aplicação;3388.2.0106/2018;Qualificação Viária;SC;Caxambu do Sul;Caixa Econômica Federal;Prefeitura Municipal de Caxambu do Sul;Qualificação Viária do Prefeitura Municipal de Caxambu do Sul;R$ 130.000,00;R$ 2.450.000,00;R$ 2.580.000,00
Selecionada pelo gestor da aplicação;3690.2.1109/2018;Qualificação Viária;MG;João Pinheiro;Caixa Econômica Federal;Prefeitura Municipal de João Pinheiro;Qualificação Viária do Prefeitura Municipal de João Pinheiro;R$ 582.388,07;R$ 11.065.373,19;R$ 11.647.761,26
Selecionada pelo gestor da aplicação;1361.2.2012/2017;Qualificação Viária;RS;Sapiranga;Caixa Econômica Federal;Prefeitura Municipal de Sapiranga;Qualificação Viária do Prefeitura Municipal de Sapiranga;R$ 244.686,28;R$ 4.649.039,27;R$ 4.893.725,55
Selecionada pelo gestor da aplicação;1455.2.2912/2017;Qualificação Viária;RS;Tupanciretã;Caixa Econômica Federal;Prefeitura Municipal de Tupanciretã;Qualificação Viária do Prefeitura Municipal de Tupanciretã;R$ 202.677,84;R$ 3.850.878,89;R$ 4.053.556,73
Selecionada pelo gestor da aplicação;1454.2.2912/2017;Qualificação Viária;RS;Sobradinho;Caixa Econômica Federal;Prefeitura Municipal de Sobradinho;Qualificação Viária do Prefeitura Municipal de Sobradinho;R$ 188.014,00;R$ 3.572.259,80;R$ 3.760.273,80
Em análise de enquadramento;4294.2.2207/2022;Qualificação viária;AC;Brasiléia;Caixa Econômica Federal;Prefeitura Municipal de Brasiléia;Qualificação viária;R$ 56.000,01;R$ 1.064.000,00;R$ 1.120.000,01
Selecionada pelo gestor da aplicação;1459.2.2912/2017;Qualificação Viária;RS;Tio Hugo;Caixa Econômica Federal;MUNICÍPIO DE TIO HUGO;Qualificação Viária do MUNICÍPIO DE TIO HUGO;R$ 69.183,68;R$ 1.314.489,74;R$ 1.383.673,42
Selecionada pelo gestor da aplicação;3373.2.2505/2018;Qualificação Viária;MG;João Monlevade;Caixa Econômica Federal;Prefeitura Municipal de João Monlevade;Qualificação Viária do Prefeitura Municipal de João Monlevade;R$ 410.284,95;R$ 7.795.413,97;R$ 8.205.698,92
Selecionada pelo gestor da aplicação;3838.2.2012/2018;Qualificação Viária;SC;Indaial;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Indaial;Qualificação Viária do Prefeitura Municipal de Indaial;R$ 76.155,97;R$ 1.446.963,29;R$ 1.523.119,26
Selecionada pelo gestor da aplicação;2865.2.1203/2018;Qualificação Viária;CE;Tianguá;Caixa Econômica Federal;Prefeitura Municipal de Tianguá;Qualificação Viária do Prefeitura Municipal de Tianguá;R$ 388.375,33;R$ 7.379.131,24;R$ 7.767.506,57
Selecionada pelo gestor da aplicação;3710.2.3108/2018;Qualificação Viária;RS;Serafina Corrêa;Caixa Econômica Federal;Prefeitura Municipal de Serafina Corrêa;Qualificação Viária do Prefeitura Municipal de Serafina Corrêa;R$ 126.512,99;R$ 2.403.746,80;R$ 2.530.259,79
Selecionada pelo gestor da aplicação;3284.2.2404/2018;Qualificação Viária;SE;Estância;Caixa Econômica Federal;Prefeitura Municipal de Estância;Qualificação Viária do Prefeitura Municipal de Estância;R$ 950.000,00;R$ 18.050.000,00;R$ 19.000.000,00
Pré-selecionada pelo Gestor da Aplicação;4281.2.3006/2022;Qualificação Viária;MS;Inocência;Caixa Econômica Federal;Prefeitura Municipal de Inocência;Qualificação Viária do Prefeitura Municipal de Inocência;R$ 1.400.000,00;R$ 26.600.000,00;R$ 28.000.000,00
Validação em Análise pelo Administrador do Agente Financeiro;4197..1111/2021;Qualificação Viária;SC;Irineópolis;Caixa Econômica Federal;Prefeitura Municipal de Irineópolis;Qualificação Viária do Prefeitura Municipal de Irineópolis;R$ 73.428,79;R$ 1.395.146,87;R$ 1.468.575,66
Pré-selecionada pelo Gestor da Aplicação;1622.2.2102/2018;Qualificação Viária;MG;Ressaquinha;Caixa Econômica Federal;Prefeitura Municipal de Ressaquinha;Qualificação Viária do Prefeitura Municipal de Ressaquinha;R$ 220.800,00;R$ 4.195.200,00;R$ 4.416.000,00
Em análise de enquadramento;4298.1.0109/2022;Sistemas de Transporte Público Coletivo Urbano;RJ;Rio de Janeiro;Caixa Econômica Federal;Prefeitura Municipal de Rio de Janeiro;Requalificação do Sistema de BRT;R$ 41.440.100,00;R$ 787.361.900,00;R$ 828.802.000,00
Selecionada pelo gestor da aplicação;1622.2.0602/2018;Qualificação Viária;PR;Mauá da Serra;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Mauá da Serra;Qualificação Viária do Prefeitura Municipal de Mauá da Serra;R$ 75.000,00;R$ 1.425.000,00;R$ 1.500.000,00
Selecionada pelo gestor da aplicação;3921.2.1902/2019;Qualificação Viária;PR;Campina Grande do Sul;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Campina Grande do Sul;Qualificação Viária do Prefeitura Municipal de Campina Grande do Sul;R$ 163.900,56;R$ 3.114.110,60;R$ 3.278.011,16
Selecionada pelo gestor da aplicação;1396.2.2212/2017;Qualificação Viária;RS;Feliz;Caixa Econômica Federal;Prefeitura Municipal de Feliz;Qualificação Viária do Prefeitura Municipal de Feliz;R$ 93.163,87;R$ 1.770.113,51;R$ 1.863.277,38
Selecionada pelo gestor da aplicação;1575.2.1901/2018;Qualificação Viária;RS;Nova Candelária;Caixa Econômica Federal;Prefeitura Municipal de Nova Candelária;Qualificação Viária do Prefeitura Municipal de Nova Candelária;R$ 144.234,75;R$ 2.740.460,06;R$ 2.884.694,81
Selecionada pelo gestor da aplicação;3861.24.0512/2018;Qualificação Viária;RS;Ibirubá;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Ibirubá;Qualificação Viária do Prefeitura Municipal de Ibirubá;R$ 399.272,26;R$ 7.586.172,74;R$ 7.985.445,00
Selecionada pelo gestor da aplicação;4018.2.0306/2019;Qualificação Viária;RS;Dom Feliciano;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Dom Feliciano;Qualificação Viária do Prefeitura Municipal de Dom Feliciano;R$ 35.135,09;R$ 667.566,61;R$ 702.701,70
Selecionada pelo gestor da aplicação;1318.2.1512/2017;Qualificação Viária;PR;Mariópolis;Caixa Econômica Federal;Prefeitura Municipal de Mariópolis;Qualificação Viária do Prefeitura Municipal de Mariópolis;R$ 100.830,00;R$ 1.915.770,00;R$ 2.016.600,00
Selecionada pelo gestor da aplicação;3557.2.2906/2018;Qualificação Viária;PR;Almirante Tamandaré;Caixa Econômica Federal;Prefeitura Municipal de Almirante Tamandaré;Qualificação Viária do Prefeitura Municipal de Almirante Tamandaré;R$ 236.747,45;R$ 4.498.201,48;R$ 4.734.948,93
Selecionada pelo gestor da aplicação;1439.2.2812/2017;Qualificação Viária;SC;Araranguá;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Araranguá;Qualificação Viária do Prefeitura Municipal de Araranguá;R$ 261.224,87;R$ 4.963.272,33;R$ 5.224.497,20
Selecionada pelo gestor da aplicação;3236.2.0504/2018;Qualificação Viária;SC;São João do Sul;Caixa Econômica Federal;Prefeitura Municipal de São João do Sul;Qualificação Viária do Prefeitura Municipal de São João do Sul;R$ 246.676,91;R$ 4.686.861,09;R$ 4.933.538,00
Selecionada pelo gestor da aplicação;4019.2.0606/2019;Qualificação Viária;MT;Nova Ubiratã;Caixa Econômica Federal;Prefeitura Municipal de Nova Ubiratã;Qualificação Viária do Prefeitura Municipal de Nova Ubiratã;R$ 452.500,00;R$ 4.547.500,00;R$ 5.000.000,00
Selecionada pelo gestor da aplicação;1460.2.2912/2017;Qualificação Viária;SC;Lontras;Caixa Econômica Federal;Prefeitura Municipal de Lontras;Qualificação Viária do Prefeitura Municipal de Lontras;R$ 244.000,00;R$ 4.636.000,00;R$ 4.880.000,00
Selecionada pelo gestor da aplicação;4072.2.2707/2019;Qualificação Viária;PR;Pérola;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Pérola;Qualificação Viária do Prefeitura Municipal de Pérola;R$ 123.131,20;R$ 2.339.492,74;R$ 2.462.623,94
Selecionada pelo gestor da aplicação;3793.2.1010/2018;Qualificação Viária;MT;Itanhangá;Caixa Econômica Federal;Prefeitura Municipal de Itanhangá;Qualificação Viária do Prefeitura Municipal de Itanhangá;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Selecionada pelo gestor da aplicação;3046.24.2803/2018;Qualificação Viária;MS;Ponta Porã;Caixa Econômica Federal;Prefeitura Municipal de Ponta Porã;Qualificação Viária do Prefeitura Municipal de Ponta Porã;R$ 454.900,89;R$ 8.643.116,84;R$ 9.098.017,73
Selecionada pelo gestor da aplicação;3658.2.3108/2018;Qualificação Viária;MT;Cláudia;Caixa Econômica Federal;Prefeitura Municipal de Cláudia;Qualificação Viária do Prefeitura Municipal de Cláudia;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Selecionada pelo gestor da aplicação;1440.2.2812/2017;Qualificação Viária;SC;Araranguá;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Araranguá;Qualificação Viária do Prefeitura Municipal de Araranguá;R$ 55.646,30;R$ 1.057.279,70;R$ 1.112.926,00
Selecionada pelo gestor da aplicação;3587.2.2208/2018;Qualificação Viária;GO;Cidade Ocidental;Caixa Econômica Federal;Prefeitura Municipal de Cidade Ocidental;Qualificação Viária do Prefeitura Municipal de Cidade Ocidental;R$ 999.384,53;R$ 18.988.305,90;R$ 19.987.690,43
Selecionada pelo gestor da aplicação;1404.24.2312/2017;Qualificação Viária;MS;Angélica;Caixa Econômica Federal;Prefeitura Municipal de Angélica;Qualificação Viária do Prefeitura Municipal de Angélica;R$ 252.698,46;R$ 4.801.270,57;R$ 5.053.969,03
Selecionada pelo gestor da aplicação;1596.24.2601/2018;Qualificação Viária;PI;Água Branca;Caixa Econômica Federal;Prefeitura Municipal de Água Branca;Qualificação Viária do Prefeitura Municipal de Água Branca;R$ 251.000,00;R$ 4.749.000,00;R$ 5.000.000,00
Selecionada pelo gestor da aplicação;3482.24.1206/2018;Qualificação Viária;PI;Demerval Lobão;Caixa Econômica Federal;Prefeitura Municipal de Demerval Lobão;Qualificação Viária do Prefeitura Municipal de Demerval Lobão;R$ 155.000,00;R$ 2.845.000,00;R$ 3.000.000,00
Selecionada pelo gestor da aplicação;3455.24.1206/2018;Qualificação Viária;PI;Massapê do Piauí;Caixa Econômica Federal;Prefeitura Municipal de Massapê do Piauí;Qualificação Viária do Prefeitura Municipal de Massapê do Piauí;R$ 202.000,00;R$ 3.798.000,00;R$ 4.000.000,00
Selecionada pelo gestor da aplicação;1462.2.2912/2017;Qualificação Viária;MS;Sidrolândia;Caixa Econômica Federal;Prefeitura Municipal de Sidrolândia;Qualificação Viária do Prefeitura Municipal de Sidrolândia;R$ 579.964,95;R$ 9.375.677,32;R$ 9.955.642,27
Pré-selecionada pelo Gestor da Aplicação;1500.24.0801/2018;Qualificação Viária;MG;Divino;Caixa Econômica Federal;Prefeitura Municipal de Divino;Qualificação Viária do Prefeitura Municipal de Divino;R$ 52.672,80;R$ 1.000.783,17;R$ 1.053.455,97
Pré-selecionada pelo Gestor da Aplicação;1526.24.1001/2018;Qualificação Viária;MG;Santo Antônio do Aventureiro;Caixa Econômica Federal;Prefeitura Municipal de Santo Antônio do Aventureiro;Qualificação Viária do Prefeitura Municipal de Santo Antônio do Aventureiro;R$ 75.000,00;R$ 1.425.000,00;R$ 1.500.000,00
Selecionada pelo gestor da aplicação;1556.34.1701/2018;Transporte Não Motorizado;SP;Hortolândia;Caixa Econômica Federal;MUNICIPIO DE HORTOLANDIA;Transporte Não Motorizado do MUNICIPIO DE HORTOLANDIA;R$ 200.000,00;R$ 3.800.000,00;R$ 4.000.000,00
Selecionada pelo gestor da aplicação;1589.2.2401/2018;Qualificação Viária;PR;Campo Magro;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Campo Magro;Qualificação Viária do Prefeitura Municipal de Campo Magro;R$ 130.000,00;R$ 2.470.000,00;R$ 2.600.000,00
Selecionada pelo gestor da aplicação;3309.2.2704/2018;Qualificação Viária;PR;Contenda;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Contenda;Qualificação Viária do Prefeitura Municipal de Contenda;R$ 300.000,00;R$ 4.700.000,00;R$ 5.000.000,00
Selecionada pelo gestor da aplicação;3117.2.0503/2018;Qualificação Viária;RN;Macaíba;Caixa Econômica Federal;Prefeitura Municipal de Macaíba;Qualificação Viária do Prefeitura Municipal de Macaíba;R$ 981.731,31;R$ 18.652.894,71;R$ 19.634.626,02
Selecionada pelo gestor da aplicação;3266.2.1904/2018;Qualificação Viária;SC;Indaial;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Indaial;Qualificação Viária do Prefeitura Municipal de Indaial;R$ 132.663,03;R$ 2.520.597,53;R$ 2.653.260,56
Selecionada pelo gestor da aplicação;1607.24.0902/2018;Qualificação Viária;SC;Grão Pará;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Grão Pará;Qualificação Viária do Prefeitura Municipal de Grão Pará;R$ 262.500,00;R$ 4.987.500,00;R$ 5.250.000,00
Selecionada pelo gestor da aplicação;3330.2.1005/2018;Qualificação Viária;RS;Vale Real;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;MUNICÍPIO DE VALE REAL;Qualificação Viária do MUNICÍPIO DE VALE REAL;R$ 49.128,38;R$ 933.439,16;R$ 982.567,54
Selecionada pelo gestor da aplicação;3799.3.2210/2018;Transporte Não Motorizado;SP;Cravinhos;Caixa Econômica Federal;Município de Cravinhos;Transporte Não Motorizado do Município de Cravinhos;R$ 135.603,18;R$ 2.576.460,32;R$ 2.712.063,50
Selecionada pelo gestor da aplicação;3216.2.2703/2018;Qualificação Viária;RS;Santo Antônio do Palma;Caixa Econômica Federal;Prefeitura Municipal de Santo Antônio do Palma;Qualificação Viária do Prefeitura Municipal de Santo Antônio do Palma;R$ 64.250,00;R$ 1.125.750,00;R$ 1.190.000,00
Selecionada pelo gestor da aplicação;1582.2.2301/2018;Qualificação Viária;TO;Gurupi;Caixa Econômica Federal;Prefeitura Municipal de Gurupi;Qualificação Viária do Prefeitura Municipal de Gurupi;R$ 1.000.000,00;R$ 19.000.000,00;R$ 20.000.000,00
Selecionada pelo gestor da aplicação;1628.2.0202/2018;Qualificação Viária;SC;Jacinto Machado;Caixa Econômica Federal;Prefeitura Municipal de Jacinto Machado;Qualificação Viária do Prefeitura Municipal de Assis Chateaubriand;R$ 206.134,54;R$ 3.916.556,22;R$ 4.122.690,76
Pré-selecionada pelo Gestor da Aplicação;4301.2.1210/2022;Qualificação viária;MT;Chapada dos Guimarães;Caixa Econômica Federal;Prefeitura Municipal de Chapada dos Guimarães;Implantação de Obras de Infraestrutura Viária;R$ 1.713.240,46;R$ 32.551.568,72;R$ 34.264.809,18
Pré-selecionada pelo Gestor da Aplicação;4303.5.0111/2022;Plano de Mobilidade Urbana;SC;Mafra;Caixa Econômica Federal;Prefeitura Municipal de Mafra;Elaboração de Plano de Mobilidade;R$ 50.000,00;R$ 950.000,00;R$ 1.000.000,00
Validada pelo Agente Financeiro;3895.2.0301/2019;Qualificação Viária;RS;Santo Ângelo;Caixa Econômica Federal;Prefeitura Municipal de Santo Ângelo;Qualificação Viária do Prefeitura Municipal de Santo Ângelo;R$ 398.918,85;R$ 7.579.458,05;R$ 7.978.376,90
Pré-selecionada pelo Gestor da Aplicação;4297.1245.3008/2022;Qualificação viária;SP;Engenheiro Coelho;Caixa Econômica Federal;Prefeitura Municipal de Engenheiro Coelho;Pavimentação Asfáltica;R$ 435.000,00;R$ 8.265.000,00;R$ 8.700.000,00
Enquadrada pelo Gestor da Aplicação;4306.4.1711/2022;Estudos e Projetos;SP;Guarujá;Caixa Econômica Federal;Prefeitura Municipal de Guarujá;Elaboração de Estudos e Projetos;R$ 270.696,96;R$ 5.143.242,12;R$ 5.413.939,08
Pré-selecionada pelo Gestor da Aplicação;4242.2.0311/2021;Qualificação Viária;SC;Mafra;Caixa Econômica Federal;Prefeitura Municipal de Mafra;Qualificação Viária do Prefeitura Municipal de Mafra;R$ 65.000,00;R$ 1.235.000,00;R$ 1.300.000,00
